Horizon,Model,DirAcc(%),DirAcc_filt(%),MAE,R2
1,Linear Regression,47.2569,47.4412,0.0098,-0.0397
1,KNN,50.7481,49.6542,0.0099,-0.0532
1,Random Forest,49.6259,48.1328,0.0095,0.0028
1,Ensemble,47.3815,47.1646,0.0096,-0.0155
5,Linear Regression,48.6891,48.9598,0.0226,-0.111
5,KNN,47.3159,47.4341,0.0232,-0.082
5,Random Forest,48.0649,47.5728,0.0216,-0.0477
5,Ensemble,47.5655,47.9889,0.022,-0.0521
10,Linear Regression,49.125,48.4722,0.0332,-0.1493
10,KNN,48.75,47.9167,0.034,-0.1427
10,Random Forest,50.625,50.2778,0.0315,-0.0751
10,Ensemble,49.5,48.75,0.0319,-0.0856
20,Linear Regression,54.7619,54.3175,0.0455,-0.1167
20,KNN,50.8772,50.9749,0.0489,-0.194
20,Random Forest,52.381,51.8106,0.0449,-0.1132
20,Ensemble,52.7569,52.7855,0.045,-0.1036
60,Linear Regression,61.1392,62.3066,0.07,-0.035
60,KNN,59.6203,60.3376,0.0902,-0.6531
60,Random Forest,58.6076,59.2124,0.0819,-0.3693
60,Ensemble,61.6456,62.7286,0.0789,-0.2696
